id,model,year,transmission,manufacturer,vehicle_type,fuel,fuel_configuration,best_mpge
12988,amg e53 4matic+ (convertible),2022,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,28.0
689,avalanche ffv,2007,auto,chevrolet,pickup,ethanol (e85),flexible fuel,21.0
950,impala,2010,auto,chevrolet,sedan/wagon,ethanol (e85),flexible fuel,29.0
250,yukon xl ffv,2004,auto,gmc,suv,ethanol (e85),flexible fuel,18.0
13089,sf90 spyder,2022,auto,ferrari,sedan/wagon,plug-in hybrid electric,hybrid electric,19.0
12302,silverado 4wd,2020,auto,chevrolet,pickup,ethanol (e85),flexible fuel,18.0
12989,amg gle 53 4matic+ (coupe),2022,auto,mercedes-benz,suv,hybrid electric,hybrid electric,21.0
12875,avalon hybrid ,2022,auto,toyota,sedan/wagon,hybrid electric,hybrid electric,43.0
10584,sierra c / k 1500,2013,auto,gmc,pickup,ethanol (e85),flexible fuel,18.0
12864,x6 xdrive40i,2022,auto,bmw,suv,hybrid electric,hybrid electric,25.0
10539,fortwo,2013,unknown,smart,sedan/wagon,electric,dedicated,112.0
10485,grand cherokee 2wd / awd,2013,auto,jeep,suv,ethanol (e85),flexible fuel,23.0
20,econoline clubwagon,1998,auto,ford,van,cng - compressed natural gas,dual/bi-fueled,17.0
10333,impala,2012,auto,chevrolet,sedan/wagon,ethanol (e85),flexible fuel,30.0
12599,a5 quattro,2021,auto,audi,sedan/wagon,hybrid electric,hybrid electric,31.0
11190,xj ffv,2014,auto,jaguar,sedan/wagon,ethanol (e85),flexible fuel,27.0
11948,optima plug-in hybrid,2018,auto,kia,sedan/wagon,plug-in hybrid electric,hybrid electric,103.0
12112,300 awd,2019,auto,chrysler,sedan/wagon,ethanol (e85),flexible fuel,27.0
695,sierra,2007,auto,gmc,pickup,hybrid electric,hybrid electric,21.0
12035,cruze,2019,auto,chevrolet,sedan/wagon,biodiesel (b20),dedicated,48.0
10014,e250,2011,auto,ford,van,ethanol (e85),flexible fuel,16.0
11909,fusion hybrid fwd,2018,auto,ford,sedan/wagon,hybrid electric,hybrid electric,43.0
594,"ev1-nimh (ca,az)",1998,single,general motors ev,sedan/wagon,electric,dedicated,34.0
18,econoline e-250,1998,auto,ford,van,cng - compressed natural gas,dedicated,17.0
11646,tucson,2017,auto,hyundai,suv,hydrogen fuel cell,flexible fuel,50.0
299,voyager ffv,2003,auto,chrysler,van,ethanol (e85),flexible fuel,26.0
10481,durango 2wd / awd,2013,auto,dodge,suv,ethanol (e85),flexible fuel,23.0
669,prius,2007,continuously variable,toyota,sedan/wagon,hybrid electric,hybrid electric,60.0
12394,niro touring,2020,auto,kia,sedan/wagon,hybrid electric,hybrid electric,46.0
12952,"e-tron s sportback (20"" wheels)",2022,auto,audi,suv,electric,unknown,78.0
11710,camry hyrid le,2017,auto,toyota,sedan/wagon,hybrid electric,hybrid electric,42.0
567,yukon xl ffv,2003,auto,gmc,suv,ethanol (e85),flexible fuel,18.0
12720,ioniq plug-in hybrid,2021,auto,hyundai,sedan/wagon,plug-in hybrid electric,hybrid electric,52.0
12554,v60 awd,2021,auto,volvo,suv,plug-in hybrid electric,hybrid electric,33.0
12424,wrangler 4x4,2020,auto,jeep,suv,hybrid electric,hybrid electric,22.0
11870,f-150 2wd ffv,2018,auto,ford,pickup,ethanol (e85),flexible fuel,25.0
811,durango ffv,2008,auto,dodge,suv,ethanol (e85),flexible fuel,19.0
11677,terrain fwd,2017,auto,gmc,suv,ethanol (e85),flexible fuel,31.0
10545,panamera s hybrid,2013,auto,porsche,sedan/wagon,hybrid electric,hybrid electric,30.0
382,savana,2004,auto,gmc,van,cng - compressed natural gas,dual/bi-fueled,20.0
11925,nx 300h awd,2018,auto,lexus,sedan/wagon,hybrid electric,hybrid electric,33.0
12129,a6 quattro,2019,auto,audi,sedan/wagon,hybrid electric,hybrid electric,29.0
12501,colorado zr2 4wd,2021,auto,chevrolet,pickup,biodiesel (b20),dedicated,22.0
813,commander ffv,2008,auto,jeep,suv,ethanol (e85),flexible fuel,19.0
12441,clarity,2020,auto,honda,sedan/wagon,hydrogen fuel cell,dedicated,68.0
10559,jetta hybrid,2013,auto,volkswagen,sedan/wagon,hybrid electric,hybrid electric,48.0
12393,niro fe,2020,auto,kia,sedan/wagon,hybrid electric,hybrid electric,52.0
10368,c300 4matic ffv,2012,auto,mercedes-benz,sedan/wagon,ethanol (e85),flexible fuel,25.0
12538,corolla hybrid,2021,auto,toyota,sedan/wagon,hybrid electric,hybrid electric,53.0
11421,captiva,2015,auto,chevrolet,suv,ethanol (e85),flexible fuel,28.0
958,town car,2010,auto,lincoln,sedan/wagon,ethanol (e85),flexible fuel,24.0
685,tahoe ffv,2007,auto,chevrolet,suv,ethanol (e85),flexible fuel,21.0
11445,f-150 2wd/4wd,2015,auto,ford,pickup,ethanol (e85),flexible fuel,22.0
698,civic,2007,continuously variable,honda,sedan/wagon,hybrid electric,hybrid electric,51.0
12028,panamera 4 e-hybrid executive,2018,auto,porsche,sedan/wagon,plug-in hybrid electric,hybrid electric,46.0
12649,amg e53 4matic+,2021,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,29.0
11431,dart,2015,auto,chrysler,sedan/wagon,ethanol (e85),flexible fuel,34.0
11773,model x awd - 75d,2017,auto,tesla,suv,electric,dedicated,95.0
12885,xc40 recharge twin,2022,auto,volvo,suv,electric,dedicated,92.0
11385,camry,2015,continuously variable,toyota,sedan/wagon,hybrid electric,hybrid electric,43.0
11200,"e350, sedan/coupe",2014,auto,mercedes-benz,sedan/wagon,ethanol (e85),flexible fuel,31.0
11219,crz,2014,continuously variable,honda,sedan/wagon,hybrid electric,hybrid electric,39.0
12765,panamera 4 e-hybrid,2021,auto,porsche,sedan/wagon,plug-in hybrid electric,hybrid electric,24.0
11443,explorer fwd/awd,2015,auto,ford,suv,ethanol (e85),flexible fuel,21.0
12248,"model s performance (19"" wheels)",2019,auto,tesla,sedan/wagon,electric,dedicated,104.0
11126,continental gt,2014,auto,bentley motors,sedan/wagon,ethanol (e85),flexible fuel,21.0
10579,yukon xl 2wd/ awd,2013,auto,gmc,suv,ethanol (e85),flexible fuel,18.0
12026,sonata plug-in hybrid,2018,auto,hyundai,sedan/wagon,plug-in hybrid electric,hybrid electric,99.0
805,malibu,2008,auto,chevrolet,sedan/wagon,hybrid electric,hybrid electric,32.0
11236,cayenne s hybrid,2014,auto,porsche,suv,hybrid electric,hybrid electric,24.0
12542,rav4 hybrid awd,2021,auto,toyota,suv,hybrid electric,hybrid electric,41.0
11370,ct 200h,2015,continuously variable,lexus,sedan/wagon,hybrid electric,hybrid electric,43.0
12897,"air dream r awd w/21"" wheels",2022,auto,"lucid usa, inc.",sedan/wagon,electric,dedicated,117.0
11687,cla250 4matic,2017,auto,mercedes-benz,sedan/wagon,ethanol (e85),flexible fuel,32.0
189,caravan ffv,2002,auto,dodge,van,ethanol (e85),flexible fuel,24.0
11781,model s rwd 60 kwh,2017,auto,tesla,sedan/wagon,electric,dedicated,101.0
11463,armada 2wd/4wd,2015,auto,nissan,suv,ethanol (e85),flexible fuel,19.0
12408,i8 coupe,2020,auto,bmw,sedan/wagon,plug-in hybrid electric,hybrid electric,29.0
319,c320 sport wagon ffv,2004,auto,mercedes-benz,sedan/wagon,ethanol (e85),flexible fuel,26.0
11871,f-150 4wd ffv,2018,auto,ford,pickup,ethanol (e85),flexible fuel,23.0
13104,gle 580 4matic,2022,auto,mercedes-benz,suv,hybrid electric,hybrid electric,21.0
967,yukon,2010,auto,gmc,suv,ethanol (e85),flexible fuel,21.0
10069,yukon 1500,2011,auto,gmc,suv,ethanol (e85),flexible fuel,21.0
11645,mirai,2017,auto,toyota,sedan/wagon,hydrogen fuel cell,fuel cell,67.0
12818,niro,2022,auto,kia,sedan/wagon,hybrid electric,hybrid electric,51.0
11157,"charger, fwd/awd",2014,auto,dodge,sedan/wagon,ethanol (e85),flexible fuel,31.0
892,armada ffv,2009,auto,nissan,suv,ethanol (e85),flexible fuel,18.0
12796,q5 sportback s line quattro,2022,auto,audi,suv,hybrid electric,hybrid electric,28.0
12369,model 3 standard range,2020,auto,tesla,sedan/wagon,electric,dedicated,138.0
42,econoline,1999,auto,ford,van,propane,dual/bi-fueled,17.0
254,express,2004,auto,chevrolet,van,cng - compressed natural gas,dedicated,20.0
12103,i-pace,2019,auto,jaguar,suv,electric,dedicated,80.0
12426,sonata hybrid blue,2020,auto,hyundai,sedan/wagon,hybrid electric,hybrid electric,54.0
11704,optima hybrid,2017,auto,kia,sedan/wagon,hybrid electric,hybrid electric,46.0
10011,escape 4wd,2011,auto,ford,suv,ethanol (e85),flexible fuel,23.0
61,f-150,2000,auto,ford,pickup,cng - compressed natural gas,dual/bi-fueled,16.0
12073,xc90 awd,2019,auto,volvo,suv,plug-in hybrid electric,hybrid electric,27.0
10383,camry hybrid,2012,continuously variable,toyota,sedan/wagon,hybrid electric,hybrid electric,35.0
11877,f-150 2wd ffv,2018,auto,ford,pickup,ethanol (e85),flexible fuel,23.0
11862,tahoe c1500 2wd,2018,auto,chevrolet,suv,ethanol (e85),flexible fuel,23.0
931,hs 250h,2010,continuously variable,lexus,sedan/wagon,hybrid electric,hybrid electric,35.0
11902,sequoia 4wd ffv,2018,auto,toyota,pickup,ethanol (e85),flexible fuel,17.0
12276,yukon xl c1500 2wd,2020,auto,gmc,suv,ethanol (e85),flexible fuel,22.0
317,ram pickup ffv,2003,auto,dodge,pickup,ethanol (e85),flexible fuel,25.0
272,f-150,2004,auto,ford,pickup,propane,dual/bi-fueled,19.0
634,taurus ffv,1995,auto,ford,sedan/wagon,methanol,flexible fuel,26.0
12915,sierra 2wd,2022,auto,gmc,pickup,biodiesel (b20),dedicated,30.0
173,f-150,2002,auto,ford,pickup,propane,dual/bi-fueled,16.0
12151,amg e53 4matic+ (coupe),2019,auto,mercedes-benz,sedan/wagon,hybrid electric,hybrid electric,28.0
